CustomerID,Gender,Age,Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,PaperlessBilling,MonthlyUsageGB,SupportTickets,Churn
51,Male,29,61,65.89,3954.25,Month-to-Month,Bank Transfer,Yes,99.6,7,Yes
52,Female,56,68,60.63,4317.79,Two Year,Bank Transfer,Yes,64.8,3,No
53,Male,21,68,87.15,6048.39,Month-to-Month,Bank Transfer,Yes,66.8,7,Yes
54,Female,59,29,89.26,2676.48,Month-to-Month,Electronic Check,Yes,70.4,8,Yes
55,Male,30,62,61.78,3877.01,One Year,Electronic Check,Yes,66.6,7,No
56,Female,51,60,94.18,5685.67,Month-to-Month,Mailed Check,Yes,43.9,5,Yes
57,Female,59,41,25.18,1024.95,Month-to-Month,Credit Card,No,54.1,1,Yes
58,Male,38,65,29.06,1810.15,Month-to-Month,Credit Card,No,28.3,7,No
59,Male,39,64,67.74,4438.28,Month-to-Month,Mailed Check,No,44.7,3,Yes
60,Male,21,63,48.33,2996.03,Month-to-Month,Electronic Check,No,43.6,0,Yes
61,Male,35,48,57.14,2659.53,Two Year,Mailed Check,No,28.8,4,No
62,Male,22,20,46.25,889.33,One Year,Bank Transfer,No,78.7,2,No
63,Male,36,37,52.38,1856.34,Month-to-Month,Bank Transfer,No,41.0,2,No
64,Male,19,64,85.81,5478.34,Month-to-Month,Credit Card,No,55.2,6,Yes
65,Male,29,5,67.48,348.77,Month-to-Month,Electronic Check,No,15.6,0,Yes
66,Female,34,34,99.79,3266.89,Two Year,Credit Card,Yes,47.5,2,No
67,Female,27,39,82.95,3239.82,Month-to-Month,Mailed Check,No,76.1,9,No
68,Male,51,67,41.89,2772.7,Two Year,Credit Card,No,44.5,5,No
69,Female,23,62,41.15,2561.48,Month-to-Month,Credit Card,Yes,55.8,7,No
70,Female,25,24,46.87,1075.16,Two Year,Bank Transfer,Yes,70.2,5,No
71,Female,28,3,87.46,263.3,Month-to-Month,Credit Card,Yes,38.9,3,Yes
72,Female,29,71,22.18,1582.65,Month-to-Month,Mailed Check,No,35.3,7,Yes
73,Male,26,67,38.41,2668.71,Month-to-Month,Electronic Check,No,8.6,9,No
74,Female,19,50,92.39,4480.69,One Year,Credit Card,Yes,58.2,4,No
75,Male,25,29,71.19,2129.49,Month-to-Month,Electronic Check,Yes,70.7,9,No
76,Female,28,32,38.15,1251.49,Month-to-Month,Mailed Check,No,58.1,5,No
77,Female,53,39,37.53,1524.33,Two Year,Credit Card,No,28.4,0,No
78,Female,27,9,89.01,834.17,Month-to-Month,Electronic Check,Yes,26.2,3,Yes
79,Male,38,14,91.5,1315.09,Month-to-Month,Bank Transfer,No,15.9,3,Yes
80,Female,37,68,40.49,2870.41,Two Year,Bank Transfer,Yes,4.7,4,No
81,Male,65,64,53.64,3350.21,Month-to-Month,Mailed Check,Yes,42.7,0,No
82,Female,25,20,86.77,1675.64,Two Year,Credit Card,No,16.1,3,No
83,Male,53,28,81.68,2236.81,Month-to-Month,Mailed Check,No,69.1,6,No
84,Female,46,14,85.11,1232.04,Month-to-Month,Electronic Check,Yes,96.2,5,No
85,Male,59,44,61.47,2654.24,Month-to-Month,Electronic Check,Yes,7.3,9,Yes
86,Male,29,39,92.92,3739.35,Two Year,Mailed Check,Yes,89.3,4,No
87,Female,31,28,46.08,1273.72,Two Year,Electronic Check,No,65.8,0,Yes
88,Male,65,64,32.53,2144.27,Two Year,Mailed Check,No,86.0,7,No
89,Female,67,32,76.7,2539.61,Month-to-Month,Mailed Check,Yes,15.5,4,Yes
90,Female,38,9,63.15,578.46,Two Year,Bank Transfer,Yes,90.6,7,Yes
91,Female,39,28,88.37,2593.02,Month-to-Month,Electronic Check,Yes,95.8,5,No
92,Female,38,17,26.49,460.7,Month-to-Month,Mailed Check,No,90.7,6,Yes
93,Female,61,55,87.5,4689.85,Two Year,Bank Transfer,Yes,78.5,9,Yes
94,Female,67,10,43.46,455.65,Month-to-Month,Mailed Check,Yes,9.0,9,Yes
95,Female,47,6,72.39,442.32,Month-to-Month,Electronic Check,No,22.1,0,Yes
96,Female,56,48,23.21,1106.92,Month-to-Month,Bank Transfer,Yes,91.3,5,No
97,Female,37,67,68.77,4603.87,One Year,Electronic Check,Yes,22.9,2,Yes
98,Female,41,41,77.38,3257.01,Month-to-Month,Credit Card,Yes,34.8,2,Yes
99,Female,40,60,49.5,3045.21,Month-to-Month,Credit Card,No,5.0,2,Yes
100,Male,24,42,37.23,1617.0,Two Year,Credit Card,No,62.8,5,No
101,Male,26,71,63.01,4357.71,Month-to-Month,Credit Card,Yes,56.3,7,Yes
102,Female,18,28,86.66,2535.2,Month-to-Month,Bank Transfer,Yes,96.2,2,Yes
103,Female,43,13,45.88,582.22,One Year,Electronic Check,Yes,89.2,2,No
104,Female,55,15,40.2,601.82,Two Year,Mailed Check,Yes,50.6,4,No
105,Female,55,36,42.31,1479.2,Month-to-Month,Mailed Check,Yes,60.9,5,Yes
106,Female,61,15,95.93,1429.49,One Year,Mailed Check,Yes,41.3,5,No
107,Female,39,56,48.74,2770.35,Month-to-Month,Electronic Check,No,13.2,6,No
108,Female,61,4,20.29,81.09,One Year,Bank Transfer,No,86.8,6,Yes
109,Female,27,52,82.53,4183.64,Month-to-Month,Electronic Check,No,55.0,2,No
110,Male,23,10,75.94,750.82,Month-to-Month,Credit Card,No,42.5,4,Yes
111,Female,34,45,30.29,1375.93,Month-to-Month,Mailed Check,No,6.8,0,No
112,Male,67,29,98.79,2978.87,Two Year,Electronic Check,No,66.5,0,No
113,Female,55,53,68.64,3610.17,One Year,Credit Card,No,40.0,1,No
114,Female,41,29,60.06,1754.78,Two Year,Credit Card,Yes,25.4,1,No
115,Male,27,23,50.58,1211.14,One Year,Bank Transfer,Yes,87.7,6,Yes
116,Female,25,57,91.89,5416.37,Month-to-Month,Mailed Check,Yes,18.4,4,No
117,Male,38,50,39.52,1913.82,Month-to-Month,Electronic Check,No,51.5,2,Yes
118,Female,23,21,42.86,887.62,Two Year,Credit Card,Yes,79.6,6,No
119,Female,38,43,29.79,1317.96,One Year,Credit Card,Yes,84.9,2,No
120,Male,56,10,80.73,825.95,Two Year,Mailed Check,No,81.9,2,No
121,Female,41,30,67.64,2083.43,Month-to-Month,Electronic Check,Yes,89.7,3,Yes
122,Male,50,51,68.73,3385.87,Month-to-Month,Electronic Check,No,14.2,4,No
123,Female,35,33,37.48,1231.9,Month-to-Month,Mailed Check,Yes,94.0,7,Yes
124,Male,45,18,72.09,1322.95,Month-to-Month,Credit Card,No,1.1,8,Yes
125,Male,49,22,81.24,1770.46,Month-to-Month,Bank Transfer,No,25.6,4,No
126,Female,29,64,48.63,3132.39,Month-to-Month,Mailed Check,No,8.4,7,Yes
127,Female,65,21,84.11,1812.18,One Year,Credit Card,Yes,94.6,2,No
128,Male,59,1,47.9,47.92,Month-to-Month,Bank Transfer,No,42.4,6,Yes
129,Female,44,15,80.65,1223.08,Month-to-Month,Mailed Check,Yes,31.5,2,No
130,Female,27,36,22.7,804.38,One Year,Mailed Check,Yes,16.7,9,Yes
131,Female,63,47,64.09,2971.59,Month-to-Month,Credit Card,Yes,15.6,2,No
132,Male,59,54,97.56,5103.69,One Year,Mailed Check,No,61.4,3,No
133,Male,49,32,98.5,3307.02,Month-to-Month,Electronic Check,Yes,4.7,1,Yes
134,Male,59,58,42.54,2493.73,Two Year,Electronic Check,Yes,59.4,6,Yes
135,Male,43,46,55.31,2466.51,One Year,Bank Transfer,Yes,77.5,5,No
136,Male,42,54,25.04,1306.78,Two Year,Mailed Check,Yes,60.1,2,No
137,Male,28,33,89.87,2885.21,One Year,Electronic Check,Yes,82.7,0,Yes
138,Male,40,39,65.49,2609.74,Month-to-Month,Credit Card,Yes,26.5,9,Yes
139,Male,51,23,50.81,1168.49,Month-to-Month,Credit Card,No,7.7,2,No
140,Male,57,43,29.02,1252.3,One Year,Credit Card,Yes,72.1,3,No
141,Female,40,55,95.74,5368.94,One Year,Electronic Check,Yes,82.8,9,Yes
142,Male,46,2,62.42,127.7,One Year,Mailed Check,No,50.2,0,Yes
143,Female,48,66,42.63,2882.97,Month-to-Month,Mailed Check,Yes,82.1,7,Yes
144,Female,24,38,48.02,1748.07,One Year,Mailed Check,Yes,45.8,1,Yes
145,Female,57,29,41.66,1248.3,One Year,Bank Transfer,Yes,19.9,2,No
146,Male,50,67,68.14,4416.72,One Year,Mailed Check,No,47.4,4,No
147,Male,38,71,94.4,6792.77,Month-to-Month,Electronic Check,No,21.6,8,Yes
148,Male,19,36,88.54,3099.94,Two Year,Electronic Check,Yes,47.2,5,No
149,Male,35,29,56.83,1701.82,Month-to-Month,Mailed Check,Yes,14.8,2,No
150,Female,64,37,86.12,3270.92,Month-to-Month,Credit Card,Yes,18.6,2,No
151,Male,50,45,53.85,2344.55,Two Year,Bank Transfer,Yes,88.3,7,No
152,Male,54,16,40.18,646.11,Month-to-Month,Bank Transfer,Yes,11.6,3,No
153,Male,51,31,98.67,3126.58,One Year,Electronic Check,No,22.4,4,No
154,Male,37,34,44.31,1456.71,Month-to-Month,Bank Transfer,Yes,99.6,3,Yes
155,Male,52,50,45.9,2213.84,Month-to-Month,Credit Card,No,57.6,8,Yes
156,Female,67,65,99.18,6366.6,Month-to-Month,Mailed Check,Yes,58.6,7,Yes
157,Male,35,62,30.71,1983.72,Month-to-Month,Bank Transfer,No,84.5,6,Yes
158,Female,63,43,80.84,3325.87,Month-to-Month,Bank Transfer,Yes,52.4,3,No
159,Male,41,56,94.87,5237.74,Month-to-Month,Electronic Check,No,22.2,8,Yes
160,Female,25,15,60.94,942.1,One Year,Credit Card,No,42.2,7,Yes
161,Male,47,48,20.2,954.5,One Year,Electronic Check,No,75.5,7,Yes
162,Male,61,49,50.0,2341.0,Two Year,Electronic Check,Yes,87.2,9,Yes
163,Female,27,44,28.93,1289.8,Two Year,Bank Transfer,Yes,27.3,1,No
164,Female,40,10,53.3,557.41,Month-to-Month,Electronic Check,No,26.2,4,No
165,Female,66,20,83.2,1677.25,Two Year,Electronic Check,No,32.8,5,No
166,Male,28,70,55.1,3978.27,One Year,Bank Transfer,Yes,59.6,5,No
167,Female,19,8,54.55,415.2,Month-to-Month,Bank Transfer,Yes,27.9,8,Yes
168,Male,43,45,64.54,2950.92,One Year,Bank Transfer,Yes,89.3,3,No
169,Male,53,34,66.54,2183.4,Month-to-Month,Mailed Check,No,97.8,6,Yes
170,Female,50,51,88.5,4603.12,One Year,Credit Card,No,67.9,8,Yes
171,Female,64,4,44.67,179.93,Month-to-Month,Mailed Check,No,97.0,4,No
172,Male,30,39,85.73,3250.41,Month-to-Month,Bank Transfer,Yes,28.8,5,Yes
173,Male,57,24,65.27,1579.8,Month-to-Month,Credit Card,Yes,81.5,0,No
174,Female,42,55,44.04,2464.87,Month-to-Month,Electronic Check,No,67.8,6,Yes
175,Female,21,26,43.61,1179.46,Two Year,Credit Card,Yes,26.3,4,Yes
176,Female,59,25,48.89,1269.78,Two Year,Bank Transfer,Yes,31.8,3,Yes
177,Male,36,36,69.82,2623.22,Month-to-Month,Mailed Check,Yes,48.9,2,No
178,Male,35,71,38.46,2823.83,Month-to-Month,Credit Card,Yes,79.2,0,Yes
179,Male,54,58,93.63,5452.71,Month-to-Month,Electronic Check,No,87.2,4,No
180,Male,47,12,65.99,819.53,Two Year,Mailed Check,Yes,63.4,2,No
181,Male,36,1,93.6,95.68,Month-to-Month,Mailed Check,Yes,72.2,7,Yes
182,Male,40,50,23.71,1213.71,Two Year,Mailed Check,Yes,26.4,3,No
183,Female,33,25,47.41,1144.3,One Year,Mailed Check,No,74.1,2,No
184,Male,18,5,21.82,105.6,Two Year,Electronic Check,Yes,60.5,0,No
185,Male,29,68,41.78,2750.21,One Year,Bank Transfer,No,22.3,9,No
186,Male,41,6,88.96,518.24,One Year,Electronic Check,Yes,95.0,1,Yes
187,Female,51,26,22.93,591.29,One Year,Bank Transfer,Yes,51.3,9,No
188,Male,25,55,54.89,2963.22,Two Year,Bank Transfer,Yes,79.4,1,Yes
189,Male,35,39,29.41,1095.27,Two Year,Credit Card,No,52.6,0,No
190,Female,65,9,53.35,490.91,One Year,Electronic Check,Yes,93.3,7,No
191,Male,22,45,87.11,3882.02,One Year,Bank Transfer,No,14.1,4,No
192,Male,43,14,69.85,936.63,Two Year,Electronic Check,No,54.6,1,Yes
193,Male,47,55,78.94,4467.2,Two Year,Electronic Check,Yes,2.5,7,No
194,Male,30,9,47.93,410.64,One Year,Bank Transfer,No,19.7,9,Yes
195,Male,36,15,95.55,1441.83,Month-to-Month,Bank Transfer,Yes,28.1,4,No
196,Female,46,37,76.74,2912.4,Month-to-Month,Mailed Check,Yes,47.3,9,Yes
197,Female,20,50,53.74,2652.76,Two Year,Credit Card,Yes,82.0,4,No
198,Female,43,72,54.12,3925.5,Month-to-Month,Bank Transfer,No,46.7,1,No
199,Male,57,21,93.49,1875.08,Month-to-Month,Bank Transfer,Yes,56.1,7,Yes
200,Male,29,57,66.11,3669.18,Month-to-Month,Bank Transfer,Yes,92.4,2,No
201,Male,19,19,76.51,1477.47,One Year,Credit Card,Yes,75.7,3,No
202,Female,28,58,53.36,3184.74,One Year,Electronic Check,Yes,5.0,4,No
203,Male,61,6,37.9,218.63,Month-to-Month,Mailed Check,No,17.6,9,Yes
204,Male,45,4,77.88,326.04,Month-to-Month,Mailed Check,Yes,3.8,8,Yes
205,Female,35,43,68.63,2919.96,One Year,Electronic Check,No,6.9,1,Yes
206,Male,30,42,60.11,2631.81,Two Year,Credit Card,No,33.9,7,No
207,Female,54,3,69.92,210.59,Month-to-Month,Credit Card,No,72.8,4,Yes
208,Female,39,1,36.66,37.19,Month-to-Month,Bank Transfer,Yes,24.4,8,Yes
209,Female,29,55,83.52,4444.73,One Year,Credit Card,Yes,39.2,8,Yes
210,Male,19,15,95.85,1493.07,Two Year,Credit Card,Yes,39.4,9,No
211,Male,54,47,91.29,4113.63,One Year,Bank Transfer,Yes,59.0,2,Yes
212,Male,24,46,45.71,2205.15,One Year,Electronic Check,Yes,89.3,8,No
213,Male,43,58,52.48,3010.96,Two Year,Mailed Check,Yes,98.3,6,No
214,Male,43,71,84.67,5809.82,Month-to-Month,Electronic Check,No,60.5,8,Yes
215,Male,41,39,67.61,2664.67,Month-to-Month,Electronic Check,Yes,50.5,6,Yes
216,Male,29,3,63.83,198.49,One Year,Bank Transfer,Yes,68.2,7,Yes
217,Female,33,30,94.13,2794.84,Two Year,Electronic Check,No,66.8,3,Yes
218,Male,40,35,62.88,2092.65,One Year,Credit Card,Yes,52.4,4,Yes
219,Female,57,57,61.2,3618.26,Two Year,Electronic Check,Yes,73.7,5,No
220,Male,26,29,23.36,682.95,One Year,Electronic Check,Yes,49.1,3,No
221,Male,49,50,25.55,1225.49,One Year,Bank Transfer,Yes,99.6,7,Yes
222,Male,32,62,20.59,1328.41,Month-to-Month,Bank Transfer,Yes,4.9,4,Yes
223,Female,54,52,93.06,4971.33,Month-to-Month,Mailed Check,Yes,44.3,2,No
224,Female,30,14,52.67,739.79,One Year,Credit Card,Yes,39.7,0,No
225,Female,22,35,57.48,2001.09,Month-to-Month,Credit Card,Yes,77.0,0,No
226,Female,28,28,87.63,2504.16,Month-to-Month,Mailed Check,Yes,19.1,7,Yes
227,Male,27,58,68.74,3931.96,Two Year,Mailed Check,No,43.4,2,No
228,Female,30,30,68.76,2094.74,Two Year,Bank Transfer,Yes,69.8,9,Yes
229,Male,58,7,43.72,295.36,Month-to-Month,Mailed Check,Yes,60.3,3,Yes
230,Male,63,39,86.71,3260.77,One Year,Electronic Check,No,54.5,6,Yes
231,Female,67,69,33.27,2252.26,Month-to-Month,Mailed Check,No,43.5,0,Yes
232,Female,32,35,24.25,881.5,Month-to-Month,Electronic Check,Yes,75.2,5,Yes
233,Female,59,52,35.33,1901.52,One Year,Mailed Check,No,64.6,0,No
234,Female,24,14,41.42,579.42,One Year,Bank Transfer,No,87.5,2,No
235,Female,57,63,42.58,2705.47,Month-to-Month,Credit Card,Yes,73.3,3,No
236,Female,45,36,73.64,2684.87,Month-to-Month,Electronic Check,No,14.0,6,Yes
237,Female,49,24,37.43,886.93,Month-to-Month,Credit Card,Yes,62.0,1,Yes
238,Female,52,40,74.13,3024.9,Two Year,Electronic Check,No,4.5,7,No
239,Male,32,29,27.29,799.97,One Year,Credit Card,Yes,38.7,5,No
240,Female,65,53,31.78,1659.81,Month-to-Month,Bank Transfer,Yes,41.2,9,Yes
241,Female,53,22,60.71,1306.75,Month-to-Month,Electronic Check,No,85.5,1,Yes
242,Male,38,72,93.75,7074.51,One Year,Mailed Check,Yes,18.0,2,No
243,Female,23,15,88.77,1302.83,One Year,Bank Transfer,Yes,64.4,3,Yes
244,Male,18,69,97.5,6508.22,Two Year,Credit Card,No,19.2,5,No
245,Male,21,64,72.04,4764.83,Month-to-Month,Electronic Check,Yes,94.9,0,Yes
246,Female,28,4,74.07,305.49,Two Year,Bank Transfer,No,52.9,4,No
247,Male,61,18,70.0,1227.08,Month-to-Month,Credit Card,Yes,70.8,7,No
248,Male,43,42,69.83,3035.13,Month-to-Month,Electronic Check,No,64.7,6,Yes
249,Male,54,30,31.77,992.34,Month-to-Month,Electronic Check,Yes,30.4,2,No
250,Male,40,15,63.5,936.47,One Year,Bank Transfer,Yes,90.1,1,No
251,Female,46,70,50.89,3501.23,Two Year,Credit Card,Yes,62.7,1,Yes
252,Male,38,55,55.4,2934.55,One Year,Credit Card,No,51.0,9,Yes
253,Female,65,53,61.89,3316.52,One Year,Electronic Check,Yes,52.8,4,No
254,Male,62,16,30.27,493.72,Month-to-Month,Credit Card,Yes,89.1,7,No
255,Male,62,34,48.76,1587.11,Month-to-Month,Mailed Check,Yes,5.9,5,Yes
256,Male,66,27,25.08,657.45,One Year,Mailed Check,Yes,38.9,5,No
257,Male,44,13,98.37,1249.45,One Year,Electronic Check,Yes,84.2,6,No
258,Female,56,27,29.48,791.67,One Year,Credit Card,No,3.8,0,No
259,Female,57,69,40.68,2897.78,Month-to-Month,Electronic Check,Yes,63.9,2,Yes
260,Male,30,31,91.3,2752.25,Month-to-Month,Mailed Check,Yes,40.3,4,No
261,Male,40,3,58.62,181.27,Month-to-Month,Electronic Check,No,20.5,6,Yes
262,Female,33,30,30.85,961.58,Two Year,Electronic Check,No,61.1,5,No
263,Male,47,21,50.74,1033.63,One Year,Bank Transfer,No,83.1,0,No
264,Male,21,6,29.27,184.28,Month-to-Month,Bank Transfer,No,46.7,8,Yes
265,Male,57,32,36.02,1154.57,Month-to-Month,Mailed Check,Yes,14.7,2,No
266,Female,33,42,24.16,1019.98,Month-to-Month,Credit Card,No,30.6,6,No
267,Female,48,62,55.06,3453.35,Month-to-Month,Mailed Check,Yes,98.1,0,No
268,Female,59,32,84.53,2786.87,One Year,Credit Card,No,11.1,0,No
269,Male,42,39,66.88,2648.29,Two Year,Credit Card,Yes,16.1,0,No
270,Male,61,64,68.51,4487.62,One Year,Bank Transfer,Yes,99.0,3,No
271,Female,29,30,36.05,1074.98,Month-to-Month,Bank Transfer,No,88.2,0,Yes
272,Female,43,63,47.51,3020.06,One Year,Mailed Check,No,70.7,0,No
273,Female,54,31,87.62,2647.53,One Year,Mailed Check,No,15.1,8,Yes
274,Female,65,40,27.03,1066.41,Month-to-Month,Mailed Check,Yes,24.1,7,Yes
275,Male,50,33,88.63,2963.27,Two Year,Bank Transfer,Yes,18.0,4,No
276,Female,45,63,58.7,3528.36,Two Year,Bank Transfer,No,63.1,1,No
277,Male,26,25,86.97,2191.35,Month-to-Month,Electronic Check,Yes,39.9,6,Yes
278,Female,29,36,45.44,1644.14,One Year,Mailed Check,No,4.8,0,No
279,Male,22,24,47.11,1095.22,One Year,Electronic Check,Yes,29.1,8,No
280,Female,45,58,80.13,4849.0,One Year,Credit Card,Yes,86.1,0,Yes
281,Female,52,39,82.8,3094.77,Month-to-Month,Mailed Check,No,79.6,2,No
282,Female,22,46,38.37,1685.86,Month-to-Month,Bank Transfer,No,64.3,5,Yes
283,Female,51,10,97.83,1013.64,Month-to-Month,Mailed Check,No,8.6,3,Yes
284,Male,63,32,26.76,885.46,One Year,Mailed Check,Yes,88.3,1,Yes
285,Female,51,36,25.48,907.76,Month-to-Month,Bank Transfer,No,53.5,4,Yes
286,Male,30,28,67.64,1983.96,One Year,Bank Transfer,No,49.5,9,Yes
287,Male,56,16,77.82,1304.32,One Year,Credit Card,No,93.4,0,No
288,Male,59,16,96.87,1491.79,Month-to-Month,Mailed Check,No,0.9,0,No
289,Male,62,18,52.4,941.26,One Year,Mailed Check,No,55.6,5,No
290,Female,65,8,22.02,168.29,Month-to-Month,Mailed Check,Yes,79.1,8,Yes
291,Male,31,70,68.23,4708.16,Month-to-Month,Mailed Check,Yes,6.4,9,Yes
292,Male,28,1,43.18,41.33,Month-to-Month,Credit Card,No,35.7,6,Yes
293,Male,59,62,54.64,3272.76,Two Year,Mailed Check,No,97.7,9,Yes
294,Female,55,38,59.08,2333.2,One Year,Credit Card,Yes,21.2,3,No
295,Female,21,45,25.16,1171.19,Month-to-Month,Credit Card,No,53.1,7,Yes
296,Female,50,58,58.88,3537.28,Two Year,Bank Transfer,No,74.6,0,Yes
297,Female,24,1,54.11,51.58,One Year,Mailed Check,Yes,39.0,4,Yes
298,Male,58,32,77.0,2481.05,Month-to-Month,Bank Transfer,Yes,40.8,1,No
299,Male,25,8,71.65,588.91,Month-to-Month,Credit Card,No,6.3,2,Yes
300,Female,54,40,34.82,1419.49,Month-to-Month,Electronic Check,Yes,19.0,9,No
301,Male,27,56,36.49,2043.56,One Year,Electronic Check,Yes,88.1,3,Yes
302,Male,60,63,40.08,2429.53,One Year,Mailed Check,No,81.8,0,No
303,Male,32,36,34.32,1269.37,Month-to-Month,Electronic Check,No,30.5,4,No
304,Female,55,57,72.58,4298.36,Month-to-Month,Bank Transfer,Yes,38.2,9,Yes
305,Female,32,45,99.55,4375.99,Month-to-Month,Electronic Check,No,44.0,5,No
306,Male,22,2,72.17,144.91,Month-to-Month,Electronic Check,Yes,34.6,0,Yes
307,Female,46,68,68.53,4655.57,One Year,Credit Card,Yes,65.4,3,Yes
308,Female,36,50,52.79,2701.04,Month-to-Month,Bank Transfer,No,1.3,1,Yes
309,Female,27,29,45.01,1360.9,One Year,Mailed Check,No,88.0,0,No
310,Female,29,10,92.89,924.54,Two Year,Bank Transfer,Yes,30.1,4,Yes
311,Female,21,27,97.52,2623.16,Month-to-Month,Bank Transfer,Yes,87.2,0,No
312,Male,48,15,59.74,871.55,Month-to-Month,Mailed Check,No,45.4,7,No
313,Female,35,60,43.22,2510.02,Month-to-Month,Bank Transfer,No,77.6,1,Yes
314,Male,33,31,81.61,2413.18,Month-to-Month,Credit Card,Yes,82.6,4,No
315,Male,57,21,30.6,663.01,One Year,Mailed Check,Yes,30.1,2,No
316,Female,53,60,81.25,4827.41,One Year,Credit Card,Yes,64.0,5,No
317,Male,42,58,85.52,4748.48,Month-to-Month,Bank Transfer,Yes,60.7,5,No
318,Male,40,41,29.99,1235.88,Month-to-Month,Electronic Check,Yes,47.6,7,Yes
319,Male,29,46,98.15,4440.56,Month-to-Month,Mailed Check,Yes,47.0,4,No
320,Female,51,45,98.84,4657.5,Month-to-Month,Mailed Check,Yes,30.5,4,Yes
321,Female,53,26,94.94,2455.56,One Year,Electronic Check,Yes,31.0,4,No
